ID,Province/Cities,Home or abroad,Status,Main Classification,Applicant
452,Shanghai,Mainland of China,invalid,A61K9,上海现代药物制剂工程研究中心
453,Shandong,Mainland of China,invalid,A61K9,山东泉港药业有限公司
454,Jiangsu,Mainland of China,invalid,A61K9,中国药科大学
455,Guangdong,Mainland of China,invalid,A61K9,深圳市海王英特龙生物技术股份有限公司
456,Guangdong,Mainland of China,invalid,A61K9,深圳市海王英特龙生物技术股份有限公司
457,Jilin,Mainland of China,invalid,A61K38,长春长生基因药业股份有限公司
459,Beijing,Mainland of China,invalid,A61K9,北京金赛狮生物制药技术开发有限公司
463,Hubei,Mainland of China,In Review,A61K38,武汉大学
464,Beijing,Mainland of China,In Review,A61K38,中国科学院微生物研究所
466,Beijing,Mainland of China,In Review,A61K38,北京艾棣维欣生物技术有限公司
467,Hubei,Mainland of China,invalid,A61K38,武汉大学
468,Hubei,Mainland of China,invalid,A61K38,武汉大学
470,Shanghai,Mainland of China,valid,C07K16,中国科学院上海生命科学研究院
471,Shanghai,Mainland of China,valid,C07K16,复旦大学
472,Shanxi,Mainland of China,valid,C12N15,陈志南
474,Hongkong,China Special Administrative Region,valid,C12N7,港大科桥有限公司
475,Hongkong,China Special Administrative Region,valid,C12N7,香港大学
476,Beijing,Mainland of China,valid,C07K7,赵树民
477,Hubei,Mainland of China,valid,A61K9,武汉生物制品研究所
478,Guangdong,Mainland of China,valid,C07K16,深圳市卫武光明生物制品有限公司
479,Beijing,Mainland of China,In Review,C07K16,清华大学
480,Beijing,Mainland of China,valid,C07K16,清华大学
481,Beijing,Mainland of China,valid,C07K16,清华大学
482,Beijing,Mainland of China,In Review,C07K16,中国疾病预防控制中心病毒病预防控制所
483,Beijing,Mainland of China,In Review,C07K16,中国医学科学院病原生物学研究所
484,Beijing,Mainland of China,valid,C07K 16,中国人民解放军军事医学科学院微生物流行病研究所
485,Beijing,Mainland of China,valid,C07K16,中国科学院微生物研究所
486,Beijing,Mainland of China,valid,C07K16,中国科学院微生物研究所
487,Shanghai,Mainland of China,In Review,C07K16,复旦大学
489,Beijing,Mainland of China,invalid,A61P31,中国人民解放军军事医学科学院微生物流行病研究所
490,Beijing,Mainland of China,invalid,C12N15,中国疾病预防控制中心病毒病预防控制所
491,Shanghai,Mainland of China,invalid,C07H21,上海单抗制药技术有限公司
497,Hubei,Mainland of China,invalid,C07K14,中国科学院武汉病毒研究所
498,Shanghai,Mainland of China,invalid,C07K14,中国科学院上海生命科学研究院
499,Hongkong,China Special Administrative Region,invalid,C12N15,香港大学
500,Beijing,Mainland of China,invalid,A61P31,中国医学科学院药物研究所
501,Beijing,Mainland of China,invalid,C07K14,北京大学
502,Shanghai,Mainland of China,invalid,C07K14,中国科学院上海生命科学研究院
503,Beijing,Mainland of China,invalid,A61P11,清华大学
504,Taiwan,"Taiwan, China",invalid,C07K14,永信药品工业股份有限公司
507,Shanghai,Mainland of China,invalid,C07K7,中国科学院上海生命科学研究院
508,Tianjin,Mainland of China,invalid,C07K14,中国医学科学院血液学研究所
509,Beijing,Mainland of China,invalid,C12N15,中国人民解放军军事医学科学院毒物药物研究所
510,Shanghai,Mainland of China,invalid,C07K14,中国科学院上海生命科学研究院
512,Jiangsu,Mainland of China,invalid,C12N15,李越希
